title,description,genre
northmen: a viking saga,"Wikingowie po wygnaniu z ojczyzny udają się do Anglii, aby skradzionym uprzednio złotem wykupić swoją wolność. ",adventure
beyond borders,"Pod wpływem poruszającego wystąpienia ""lekarza bez granic"", Nicka Callahana, Sara wyjeżdża do Etiopii, by pomóc głodującym Afrykańczykom.",drama
the game plan," Joe Kingman jest wielką gwiazdą amerykańskiego footballu. Jego życie jest usłane wiecznymi imprezami i sukcesami. Bajecznie bogaty, uwielbiany przez wszystkich pewnego... ",family
judas and the black messiah,"Historia Freda Hamptona, przewodniczącego Partii Czarnych Panter w Illinois i jego fatalnej zdrady dokonanej przez informatora FBI Williama O'Neala.",biography
crulic - drumul spre dincolo,"Rumun, Claudio Crulic, podczas pobytu w Polsce zostaje niesłusznie oskarżony o kradzież. Aresztowany mężczyzna rozpoczyna głodówkę. ",documentary
final destination 3,"Przeczucie śmiertelnego wypadku na rollercoasterze ratuje licealistkę i jej grupę znajomych. Śmierć chce wyrównać rachunki na tych, którzy uciekli przed swoim przeznaczeniem. ",horror
pawn,"Kiedy uzbrojeni bandyci napadają na bar i biorą klientów za zakładników, odkrywają, że lokal jest przykrywką mafii. ",crime
bedtime stories,"Wieczorami pracownik hotelu sprawuje opiekę nad siostrzeńcami. Historie, które opowiada dzieciom na dobranoc zaczynają się urzeczywistniać.",family
date movie,"Julia nie jest urodziwą dziewczyną, lecz chciałaby mieć już chłopaka. Udaje się więc do doradcy od spraw miłosnych, Hitcha.&nbsp;",comedy
ondine,"Rybak Syracuse podczas połowu wyciąga z morza półprzytomną kobietę. Dziewczyna przedstawia się jako Ondine, nie chcąc pokazać się nikomu innemu.",romance
hitch,"Alex Hitchens pomaga nieśmiałym mężczyznom podrywać piękne dziewczyny. Jego umiejętności zostają wystawione na próbę, gdy sam się zakochuje.",comedy
les aventures de rabbi jacob,"Francuski przedsiębiorca Victor Pivert, zdeklarowany antagonista Żydów, w obronie własnego życia zmuszony jest wcielić się w rolę rabina.",comedy
batman v superman: dawn of justice,W obliczu wielkiego zagrożenia Batman niechętnie łączy siły z Supermanem. Poza herosami do walki staje także wojownicza Wonder Woman.,action
curly sue,"Bill i mała Sue podróżują po kraju. Gdy spotykają Grey Allison, kobieta zaprasza ich do swojego domu.",family
operacja bazyliszek,Policjanci Eugeniusz i Boguś stają do walki z Bazyliszkiem. ,sci-fi
never back down: no surrender,"Były zawodnik MMA Case Walker powraca, aby ponownie zostać mistrzem.",action
room 237,"Dokument przedstawia liczne teorie na temat znaczeń ukrytych w dziele Kubricka - ""Lśnienie"". ",documentary
alvin and the chipmunks,Do domu autora piosenek trafiają trzy muzycznie utalentowane wiewiórki. Mężczyzna postanawia pomóc im w karierze.,animation
the dirty dozen,"II wojna światowa. Dowodzony przez majora Reismana oddział złożony z dwunastu skazańców ma za zadanie zlikwidować niemieckich oficerów, którzy przebywają w niedostępnym zamku. ",war
